12,4
69,1
8,9
66,60
26,5
13,81
10,27
15,23
34,3
9,65
15,7
9,92
72,4
7,21
22,3
45,5
56,5
11,0
6,34
13,58
79,3
29,63
27,1
3,10
14,10
11,2
12,86
12,95
26,2
71,1
7,7
18,7
10,33
59,63
17,57
14,3
74,63
44,1
10,8
16,58
72,1
6,65
10,17
82,3
36,63
21,11
14,5
10,1
33,3
44,3
16,69
17,34
14,7
60,4
6,33
42,63
10,3
44,5
29,1
40,1
13,59
26,1
29,3
63,5
23,60
3,11
14,11
10,7
16,57
10,16
82,2
60,1
36,1
70,3
8,58
24,63
11,63
9,11
82,4
2,23
20,59
14,6
36,3
4,69
16,43
13,56
10,2
19,69
12,57
13,22
78,2
50,59
8,53
28,1
30,62
10,4
9,6
16,54
28,3
11,51
10,6
9,8
32,3
82,1
28,5
0,53
11,62
24,1
21,2
36,2
27,63
9,3
11,64
15,46
15,55
13,3
35,3
15,64
13,21
62,5
20,17
5,7
11,57
9,5
11,66
46,63
18,53
4,54
20,1
11,41
12,6
8,54
69,3
14,67
5,18
32,2
18,46
13,7
11,43
12,8
58,5
11,52
5,11
9,9
7,75
12,1
12,10
9,2
50,3
13,2
12,3
27,3
6,64
1,11
17,93
12,5
32,1
30,1
7,54
8,3
30,3
57,5
22,47
12,9
6,87
50,2
8,5
30,5
11,1
38,3
21,60
7,6
12,2
23,2
12,11
4,7
36,60
10,59
8,7
11,3
10,68
26,3
84,2
11,30

fold along y=61
fold along y=32
fold along y=26
fold along y=20
fold along y=20
fold along y=20
fold along x=75
fold along y=14
fold along x=73
fold along x=55
